Profiel;Volgnr;Vraag;Optie A;Optie B;Optie C;Optie D;Juist antwoord;Juiste tekst
Elektro - Chef-monteur;17;Welke beveiliging plan je voor een serverruimte?;Aardlek 300 mA;Eigen TN-S groepenkast met redundantie, UPS, monitoring, vroegtijdige branddetectie;Alleen één automaat;Geen beveiliging;B;Eigen TN-S groepenkast met redundantie, UPS, monitoring, vroegtijdige branddetectie
Elektro - Chef-monteur;18;Wat is een kortsluitstroomberekening?;Spanningsmaat;Inspectiemaat;Berekening van Ik max/min om beveiligingen correct te dimensioneren;Vermogensmaat;C;Berekening van Ik max/min om beveiligingen correct te dimensioneren
Elektro - Chef-monteur;19;Welke softwarepakketten ken je voor installatieontwerp?;Photoshop;Word;Excel;Stabicad, Revit MEP, AutoCAD MEP;D;Stabicad, Revit MEP, AutoCAD MEP
Elektro - Chef-monteur;20;Welke afspraken maak je met de hoofduitvoerder over toegang in monumentale ruimtes?;Random;Achteraf;Tijdvensters, toezicht, beschermmaatregelen voor vloeren/wanden, registratie;Geen;C;Tijdvensters, toezicht, beschermmaatregelen voor vloeren/wanden, registratie
Elektro - Chef-monteur;21;Wat houdt 'eindcontrole' (NEN 1010) in?;Alleen metingen;Zicht- en functioneringscontrole + metingen + rapportage;Alleen factuur;Alleen visueel;B;Zicht- en functioneringscontrole + metingen + rapportage
Elektro - Chef-monteur;22;Hoe rapporteer je voortgang aan de uitvoerder?;Dagelijks: voortgang, problemen, planning, blokkades — in vast format;Random;Niet;Maandelijks;A;Dagelijks: voortgang, problemen, planning, blokkades — in vast format
Elektro - Chef-monteur;23;Hoe ga je om met meerwerk dat een hulpmonteur signaleert?;Direct uitvoeren;Beoordelen, registreren in meerwerkstaat, afstemmen met uitvoerder vóór uitvoering;Negeren;Klant bellen;B;Beoordelen, registreren in meerwerkstaat, afstemmen met uitvoerder vóór uitvoering
Elektro - Chef-monteur;24;Wat is de juiste volgorde van inbedrijfstelling?;Direct inschakelen;Alleen visueel;Visueel → spanningsloos meten → potentiaal/aarde → isolatie → onder spanning → functie;Random;C;Visueel → spanningsloos meten → potentiaal/aarde → isolatie → onder spanning → functie
Elektro - Chef-monteur;25;Hoe verdeel je verantwoordelijkheden in je ploeg?;Random;Op leeftijd;Op basis van competenties (NEN 3140-niveau), met toezicht hulpmonteurs door VP;Alleen senioriteit;C;Op basis van competenties (NEN 3140-niveau), met toezicht hulpmonteurs door VP
Elektro - Chef-monteur;26;Wat is een elektrische bedieningsruimte volgens NEN 1010?;Algemene toiletruimte;Vergaderkamer;Ruimte met specifieke eisen voor toegang en deskundige bediening;Een opslagruimte;C;Ruimte met specifieke eisen voor toegang en deskundige bediening
Elektro - Chef-monteur;27;Wat is BHV en hoe relateert dat aan jouw rol?;Een NEN-norm;BedrijfsHulpVerlening — chef-monteur is meestal mede-BHV-er en weet waar AED's hangen;Niet relevant;Een softwarepakket;B;BedrijfsHulpVerlening — chef-monteur is meestal mede-BHV-er en weet waar AED's hangen
Elektro - Chef-monteur;28;Welke EHBO-stappen volg je bij elektrocutie?;Pleister plakken;Wegrennen;Spanning vrij maken, 112 bellen, reanimeren tot hulp er is;Patiënt aanraken zonder afschakelen;C;Spanning vrij maken, 112 bellen, reanimeren tot hulp er is
Elektro - Chef-monteur;29;Hoe stem je af bij gelijktijdig werken met W-monteurs (klimaatplafonds)?;Werkvolgorde plannen, kabelgoten en koel-/CV-leidingen niet kruisen op kritieke plaatsen;Eind van project pas;Iedereen op eigen houtje;Alleen vrijdag;A;Werkvolgorde plannen, kabelgoten en koel-/CV-leidingen niet kruisen op kritieke plaatsen
Elektro - Chef-monteur;30;Wat is een opleverpunt?;Een toolboxnotitie;Toolbox;Een schroef;Een gerelateerd werk-/herstelpunt opgenomen op de opleverlijst;D;Een gerelateerd werk-/herstelpunt opgenomen op de opleverlijst
Elektro - Chef-monteur;31;Wat doe je bij een bijna-ongeval?;Direct registreren, oorzaakanalyse, maatregel, lessons learned communiceren;Niet melden;Pas registreren bij echt ongeval;Stilhouden;A;Direct registreren, oorzaakanalyse, maatregel, lessons learned communiceren
Elektro - Chef-monteur;32;Hoe stem je af met de leverancier voor maatwerk in een monumentale ruimte?;Standaard kopen;Op het laatste moment;Random keuze;Specs vroegtijdig vastleggen, mock-up indien nodig, levertijden in planning;D;Specs vroegtijdig vastleggen, mock-up indien nodig, levertijden in planning
Elektro - Chef-monteur;33;Wat is een RIE?;Risico-Inventarisatie en Evaluatie — verplicht document op de bouwplaats;Een type meter;Een formulier voor financiën;Een tekening;A;Risico-Inventarisatie en Evaluatie — verplicht document op de bouwplaats
Elektro - Chef-monteur;34;Wat is je rol bij keuring van gereedschap?;Alleen incidenteel;Geen;Alleen bij klachten;Toezien op geldige NEN 3140-stickers, defect gereedschap onmiddellijk uit roulatie;D;Toezien op geldige NEN 3140-stickers, defect gereedschap onmiddellijk uit roulatie
Elektro - Chef-monteur;35;Hoe valideer je de aansluitwaarde voor een nieuwe installatie?;Berekend opgenomen vermogen + gelijktijdigheidsfactor → afspraak met netbeheerder;Schatting;Marktwaarde;Maximale waarde;A;Berekend opgenomen vermogen + gelijktijdigheidsfactor → afspraak met netbeheerder
Elektro - Chef-monteur;36;Wat is een werkpakket?;Een loonstrook;Afgebakende set werkzaamheden met scope, materiaal, tijd en planning;Een tas;Een schroefset;B;Afgebakende set werkzaamheden met scope, materiaal, tijd en planning
Elektro - Chef-monteur;37;Wat is een bouwbespreking?;Sociaal moment;Periodiek overleg tussen uitvoering en partijen om voortgang en problemen te bespreken;Pauze;Officiële opening;B;Periodiek overleg tussen uitvoering en partijen om voortgang en problemen te bespreken
Elektro - Chef-monteur;38;Hoe behandel je klachten van eindgebruikers tijdens een proefbedrijf?;Op eigen houtje;Negeren;Registreren, prioriteren, planmatig oplossen en terugkoppelen;Onmiddellijk eindeloos;C;Registreren, prioriteren, planmatig oplossen en terugkoppelen
Elektro - Chef-monteur;39;Wat is een digitale tweeling (digital twin) in renovatieprojecten?;Een type kabel;Een meetapparaat;Een formulier;Digitaal model dat synchroon loopt met het fysieke gebouw, voor onderhoud;D;Digitaal model dat synchroon loopt met het fysieke gebouw, voor onderhoud
Elektro - Chef-monteur;40;Wat is een SCIOS keuring?;Een verplicht spel;Onafhankelijke keuring van technische installaties op veiligheid;Een softwarekeuring;Een muziekkeuring;B;Onafhankelijke keuring van technische installaties op veiligheid
Elektro - Chef-monteur;41;Wat is een F-gassen certificaat en is het relevant voor jou?;Voor koudemiddelhandelingen — relevant bij W-koeling, niet bij elektra;Verplicht voor elektriciens;Niet bestaand;Een NEN 1010 onderdeel;A;Voor koudemiddelhandelingen — relevant bij W-koeling, niet bij elektra
Elektro - Chef-monteur;42;Welke planning gebruik je voor een renovatie met 7 gebouwen?;Van achteren naar voren;Eén plan, alle gebouwen;Per dag spontaan;Faseplanning per gebouw met afhankelijkheden, kritieke pad analyse;D;Faseplanning per gebouw met afhankelijkheden, kritieke pad analyse
Elektro - Chef-monteur;43;Hoe rapporteer je een veiligheidsincident?;Volgens RI&E protocol, in incidentenregister, met directe maatregelen en review;Mondeling alleen;Niet rapporteren;Pas na een week;A;Volgens RI&E protocol, in incidentenregister, met directe maatregelen en review
Elektro - Chef-monteur;44;Wat is je strategie als materiaal niet op tijd is?;Buffer-werkpakketten, alternatieven, contact met inkoop/uitvoerder;Random ander werk;Mensen naar huis;Stilstand accepteren;A;Buffer-werkpakketten, alternatieven, contact met inkoop/uitvoerder
Elektro - Chef-monteur;45;Welke veiligheidsmaatregel neem je bij werken naast publiek (blijvend gebruik)?;Alleen 's avonds werken;Alleen achter slot;Werkvak afzetten, stof- en geluidshinder beperken, communicatie naar gebruikers;Niets;C;Werkvak afzetten, stof- en geluidshinder beperken, communicatie naar gebruikers
Elektro - Chef-monteur;46;Wat is een VCA-VOL?;Een type bouwkraan;Veiligheidscertificering Voor Operationeel Leidinggevenden — vereist voor chef-monteur;Een softwarelicentie;Een lasdiploma;B;Veiligheidscertificering Voor Operationeel Leidinggevenden — vereist voor chef-monteur
Elektro - Chef-monteur;47;Hoe houd je je ploeg gemotiveerd op een lange renovatie?;Niets doen;Heldere doelen, erkenning, korte feedbackcycli, leerruimte;Hard schreeuwen;Bonus achteraf;B;Heldere doelen, erkenning, korte feedbackcycli, leerruimte
Elektro - Chef-monteur;48;Welke beveiliging is verplicht voor stopcontacten in vochtige ruimten?;Alleen ventilatie;Aardlekschakelaar 30 mA + IP-juiste materialen;Geen;Alleen automaat;B;Aardlekschakelaar 30 mA + IP-juiste materialen
Elektro - Chef-monteur;49;Wat doe je als je een ontwerp-fout in tekening ziet?;Documenteren, melden bij ontwerpend partij, oplossing afspreken voor uitvoering;Zelf bedenken;Negeren;Doorgaan onveilig;A;Documenteren, melden bij ontwerpend partij, oplossing afspreken voor uitvoering
Elektro - Chef-monteur;50;Wat is jouw rol in 'duurzaam slopen' van bestaande elektra?;Materialen scheiden voor hergebruik/recycling, asbest-protocol volgen, registratie;Verbranden;Alles in één container;Aan kant gooien;A;Materialen scheiden voor hergebruik/recycling, asbest-protocol volgen, registratie
Werktuigbouw - Hulpmonteur;1;Welke gereedschap gebruik je voor het buigen van koperen leidingen?;Pijpenbuiger (handmatig of mechanisch);Boormachine;Tang;Hamer;A;Pijpenbuiger (handmatig of mechanisch)
Werktuigbouw - Hulpmonteur;2;Welke verbindingsmethode is GEEN optie op dit project?;Klemkoppelingen;Lassen (totaal lasverbod);Solderen met passend procedé;Persen;B;Lassen (totaal lasverbod)
Werktuigbouw - Hulpmonteur;3;Waarom geldt een totaal lasverbod op dit project?;Houten vloeren — brandgevaar;Te kostbaar;Geen reden;Geen lasapparaat aanwezig;A;Houten vloeren — brandgevaar
Werktuigbouw - Hulpmonteur;4;Wat is een persfitting?;Een lasconstructie;Een schroefverbinding;Een rubberen overgang;Een fitting die met perstang permanent op de buis wordt geperst;D;Een fitting die met perstang permanent op de buis wordt geperst
Werktuigbouw - Hulpmonteur;5;Welk gereedschap gebruik je voor persen van koperen leidingen?;Schroevendraaier;Steeksleutel;Persgereedschap met juiste persbek (M-, V- of TH-profiel);Bahco;C;Persgereedschap met juiste persbek (M-, V- of TH-profiel)
Werktuigbouw - Hulpmonteur;6;Wat is het verschil tussen aanvoer- en retourleiding in CV?;Geen verschil;Aanvoer is dikker;Retour is warmer;Aanvoer is warm water uit de ketel, retour is afgekoeld water terug;D;Aanvoer is warm water uit de ketel, retour is afgekoeld water terug
Werktuigbouw - Hulpmonteur;7;Welke kleur zijn vaak aanvoerleidingen aangeduid?;Blauw;Rood;Groen;Geel;B;Rood
Werktuigbouw - Hulpmonteur;8;Welke kleur zijn vaak retourleidingen aangeduid?;Geel;Blauw;Rood;Groen;B;Blauw
Werktuigbouw - Hulpmonteur;9;Wat is een T-stuk (fitting)?;Een fitting waarbij drie leidingen samenkomen;Een type meter;Een soort kraan;Een steuninstrument;A;Een fitting waarbij drie leidingen samenkomen
Werktuigbouw - Hulpmonteur;10;Welk materiaal mag je voor drinkwaterleiding gebruiken?;Tuinslang;Standaard PVC;KIWA-gecertificeerd (bv. koper, RVS, multilayer-PEX);Lood;C;KIWA-gecertificeerd (bv. koper, RVS, multilayer-PEX)
Werktuigbouw - Hulpmonteur;11;Wat is isolatie van leidingen?;Beschermlaag tegen ratten;Reclame-uiting;Verfraaiing;Materiaal om warmteverlies of condens te voorkomen;D;Materiaal om warmteverlies of condens te voorkomen
Werktuigbouw - Hulpmonteur;12;Welk basisgereedschap gebruik je voor schroefverbindingen op leidingen?;Steek-/ringsleutel of pijptang;Soldeerbout;Boor;Hamer;A;Steek-/ringsleutel of pijptang
Werktuigbouw - Hulpmonteur;13;Wat is teflontape (PTFE-tape)?;Isolatiemateriaal;Reinigingsmiddel;Beschermlaag tegen UV;Afdichtmateriaal op schroefdraad;D;Afdichtmateriaal op schroefdraad
Werktuigbouw - Hulpmonteur;14;Welk gereedschap gebruik je om een buis af te zagen?;Decoupeerzaag;Cirkelzaag;Houtzaag;Pijpsnijder of fijne metaalzaag;D;Pijpsnijder of fijne metaalzaag
Werktuigbouw - Hulpmonteur;15;Wat doe je na het zagen van een koperen buis?;Bramen verwijderen (binnen en buiten);Direct verbinden;Nat maken;Verfen;A;Bramen verwijderen (binnen en buiten)
Werktuigbouw - Hulpmonteur;16;Welke PBM gebruik je bij persen/zagen van leidingen?;Veiligheidsbril en handschoenen;Geen;Alleen helm;Alleen oordoppen;A;Veiligheidsbril en handschoenen
Werktuigbouw - Hulpmonteur;17;Wat doe je voor je een afsluiter bedient?;Negeren;Hard opendraaien;Controleren wat downstream is, klant/collega's informeren, langzaam openen;Wegrennen;C;Controleren wat downstream is, klant/collega's informeren, langzaam openen
Werktuigbouw - Hulpmonteur;18;Hoe herken je een gaswaterleiding versus drinkwaterleiding?;Aan vorm;Aan markering, kleur en certificering — bij twijfel niet zelf aansluiten;Op gevoel;Geen verschil;B;Aan markering, kleur en certificering — bij twijfel niet zelf aansluiten
Werktuigbouw - Hulpmonteur;19;Wat is een klimaatplafond?;Plafond met geïntegreerd verwarm/koelsysteem (water- of luchtgevoed);Decoratief plafond;Akoestisch plafond;Geluidsdempend plafond;A;Plafond met geïntegreerd verwarm/koelsysteem (water- of luchtgevoed)
Werktuigbouw - Hulpmonteur;20;Welke leidingmaten zie je veel in CV-installatie?;15, 18, 22, 28 mm koper of vergelijkbaar PEX/multilayer;Alleen 6 mm;Alleen 50 mm;DN 100;A;15, 18, 22, 28 mm koper of vergelijkbaar PEX/multilayer
Werktuigbouw - Hulpmonteur;21;Wat is een prefab leidingunit?;Een meter;Een type kraan;Een isolatiemateriaal;Vooraf in fabriek geassembleerde leidingmodule, op locatie alleen koppelen;D;Vooraf in fabriek geassembleerde leidingmodule, op locatie alleen koppelen
Werktuigbouw - Hulpmonteur;22;Welke functie heeft een ontluchter?;Lucht uit het CV-systeem laten ontsnappen;Brand beveiligen;Geluid dempen;Water afvoeren;A;Lucht uit het CV-systeem laten ontsnappen
Werktuigbouw - Hulpmonteur;23;Wat is een groepverdeler/verdeelstation?;Soort meter;Centraal punt voor verdeling van CV-/koudwater naar groepen;Reductietoestel;Een type isolatie;B;Centraal punt voor verdeling van CV-/koudwater naar groepen
Werktuigbouw - Hulpmonteur;24;Wat is een reduceerventiel?;Filtert water;Verwarmt water;Verlaagt de waterdruk naar een lagere stabiele waarde;Stopt water;C;Verlaagt de waterdruk naar een lagere stabiele waarde
Werktuigbouw - Hulpmonteur;25;Welke richting draai je een schroefdraad meestal vast?;Linksom;Rechtsom (clockwise);Maakt niet uit;Diagonaal;B;Rechtsom (clockwise)
Werktuigbouw - Hulpmonteur;26;Wat is leidingbreuk-detectie?;Type isolatie;Een filter;Sensor / systeem dat lekkage signaleert en water afsluit;Soort kraan;C;Sensor / systeem dat lekkage signaleert en water afsluit
Werktuigbouw - Hulpmonteur;27;Wat is een sifon?;S-vormige beker onder afvoeren tegen rioolgeur;Pomp;Filter;Klep;A;S-vormige beker onder afvoeren tegen rioolgeur
Werktuigbouw - Hulpmonteur;28;Welk materiaal is vaak rioolafvoer in modern bouw?;Koper;RVS;PVC of PP;Aluminium;C;PVC of PP
Werktuigbouw - Hulpmonteur;29;Welk PBM hoort bij werken op een steiger?;Alleen helm;Helm, schoenen, veiligheidsharnas indien open zijde;Niets;Alleen handschoenen;B;Helm, schoenen, veiligheidsharnas indien open zijde
Werktuigbouw - Hulpmonteur;30;Wat is hardsoldeer en zachtsoldeer?;Hardsoldeer is voor PVC;"Hardsoldeer >450°C; zachtsoldeer <450°C — verschillende toepassingen";Geen verschil;Zachtsoldeer is voor staal;B;"Hardsoldeer >450°C; zachtsoldeer <450°C — verschillende toepassingen"
Werktuigbouw - Hulpmonteur;31;Soldeer je open vlam op dit project?;"Nee, niet zonder een hot-work permit; doorgaans persfittingen i.v.m. lasverbod";Alleen woensdag;Ja, altijd;Alleen 's nachts;A;"Nee, niet zonder een hot-work permit; doorgaans persfittingen i.v.m. lasverbod"
Werktuigbouw - Hulpmonteur;32;Wat is een afpersing/druktest?;Een schoonmaak;Test waarbij leidingsysteem op druk wordt gebracht om lekkage te controleren;Een meting van temperatuur;Een geluidstest;B;Test waarbij leidingsysteem op druk wordt gebracht om lekkage te controleren
Werktuigbouw - Hulpmonteur;33;Wat is condensvorming?;Een gas;Een schoonmaakmiddel;Vocht dat ontstaat als koud oppervlak in vochtige lucht staat;Een isolatie;C;Vocht dat ontstaat als koud oppervlak in vochtige lucht staat
Werktuigbouw - Hulpmonteur;34;Wat doe je bij waterlek tijdens werk?;Vloer dweilen;Hoofdkraan dichtdraaien, situatie veiligstellen, melden;Doorwerken;Niets;B;Hoofdkraan dichtdraaien, situatie veiligstellen, melden
Werktuigbouw - Hulpmonteur;35;Welke leidingen liggen vaak in een leidingschacht?;CV, koeling, water, riool, gas (gescheiden);Alleen riool;Alleen elektra;Niets;A;CV, koeling, water, riool, gas (gescheiden)
Werktuigbouw - Hulpmonteur;36;Wat is een airwasher of luchtbehandelingskast (LBK)?;Een ventilator;Toestel dat ventilatielucht conditioneert (filteren, verwarmen, koelen);Een afzuigkap;Een airco;B;Toestel dat ventilatielucht conditioneert (filteren, verwarmen, koelen)
Werktuigbouw - Hulpmonteur;37;Wat is een radiatorkraan?;Soort filter;Sensor;Type pomp;Regelt de waterstroming door een radiator;D;Regelt de waterstroming door een radiator
Werktuigbouw - Hulpmonteur;38;Welke vorm heeft een knel-/klemkoppeling?;Recht stuk;T-stuk;Bocht;Conisch sluitende ring met wartelmoer;D;Conisch sluitende ring met wartelmoer
Werktuigbouw - Hulpmonteur;39;Welke maat sleutel gebruik je voor een 22 mm wartel?;8 mm;Ring-/steeksleutel 24 mm of pijptang;30 mm;13 mm;B;Ring-/steeksleutel 24 mm of pijptang
Werktuigbouw - Hulpmonteur;40;Wat is een persfitting versus knelfitting?;Pers is demonteerbaar;Knel is permanent;Geen verschil;"Persfitting is permanent (perstang); knel is demonteerbaar";D;"Persfitting is permanent (perstang); knel is demonteerbaar"
Werktuigbouw - Hulpmonteur;41;Wat is een convector?;Een sensor;Een soort lamp;Verwarmingstoestel dat lucht via natuurlijke of geforceerde convectie warmt;Een filter;C;Verwarmingstoestel dat lucht via natuurlijke of geforceerde convectie warmt
Werktuigbouw - Hulpmonteur;42;Welke isolatie zie je vaak om koudwaterleiding?;Gesloten celflexibele isolatie (Armaflex-type) tegen condens;Stof;Glaswol;Geen;A;Gesloten celflexibele isolatie (Armaflex-type) tegen condens
Werktuigbouw - Hulpmonteur;43;Wat is een condensafvoer?;Afvoer van condenswater uit een airco of LBK;Een ventiel;Vuilwaterafvoer;Hemelwater;A;Afvoer van condenswater uit een airco of LBK
Werktuigbouw - Hulpmonteur;44;Wat is een spuiventiel/aftapper?;Een meter;Een isolatie;Een sensor;Punt waar je een systeem leegt of doorspoelt;D;Punt waar je een systeem leegt of doorspoelt
Werktuigbouw - Hulpmonteur;45;Hoe markeer je leidingen na installatie?;Niets;Met tape;Met stift;Met genormeerde leidingstickers/kleurringen (medium, richting, druk);D;Met genormeerde leidingstickers/kleurringen (medium, richting, druk)
Werktuigbouw - Hulpmonteur;46;Wat doe je met restafval (lood, koper, plastic)?;Allemaal in één bak;Mee naar huis;Verbranden;"Scheiden in juiste container; koper apart vanwege waarde/recycling";D;"Scheiden in juiste container; koper apart vanwege waarde/recycling"
Werktuigbouw - Hulpmonteur;47;Wat is het beste moment om een leiding op druk te zetten?;Direct;Aan einde dag;Bij regen;Na visuele controle en afpersing volgens werkinstructie;D;Na visuele controle en afpersing volgens werkinstructie
Werktuigbouw - Hulpmonteur;48;Welke gereedschappen mogen niet gebruikt worden op het project?;Pijpsnijder;Steeksleutel;Persgereedschap;Open vlam apparatuur (lasapparaten, brander) zonder vergunning;D;Open vlam apparatuur (lasapparaten, brander) zonder vergunning
Werktuigbouw - Hulpmonteur;49;Hoe stem je dagelijks af met de chef-monteur?;Alleen via e-mail;Alleen vrijdag;Korte dagstart, taakverdeling, bijzonderheden, einde dag terugkoppeling;Niet;C;Korte dagstart, taakverdeling, bijzonderheden, einde dag terugkoppeling
Werktuigbouw - Hulpmonteur;50;Hoe ga je om met een Engelstalige collega-uitvoerder?;Negeren;In dialect;Tolkenbureau bellen;Communiceren in helder Engels, gebruik van tekening en pictogrammen;D;Communiceren in helder Engels, gebruik van tekening en pictogrammen
Werktuigbouw - Monteur;1;Wat is een 4-pijps klimaatsysteem?;Aparte aanvoer/retour voor verwarmen én koelen — gelijktijdig mogelijk;Twee leidingen;Eén leiding;Vier waterzuiveringspijpen;A;Aparte aanvoer/retour voor verwarmen én koelen — gelijktijdig mogelijk
Werktuigbouw - Monteur;2;Wat is een 2-pijps klimaatsysteem?;Vier leidingen;Geen leidingen;Eén aanvoer en één retour, óf verwarmen óf koelen;Drie leidingen;C;Eén aanvoer en één retour, óf verwarmen óf koelen
Werktuigbouw - Monteur;3;Welke ISSO-publicatie behandelt CV-installaties woningbouw?;ISO 9001;ISSO 51;NEN 3140;NEN 1010;B;ISSO 51
Werktuigbouw - Monteur;4;Welke ISSO-publicatie behandelt koudeopwekking en distributie?;ISSO 30;ISSO 80;ISSO 17;ISSO 75;D;ISSO 75
Werktuigbouw - Monteur;5;Welk koudemiddel valt onder F-gassen regelgeving?;Water (H2O);HFK's zoals R410A, R32, R134a;Zout;Lucht;B;HFK's zoals R410A, R32, R134a
Werktuigbouw - Monteur;6;Wie mag handelingen aan koudemiddelsystemen verrichten?;Iedereen;Niemand;Alleen elektrici;Gecertificeerd persoon (F-gassen STEK / vergelijkbaar);D;Gecertificeerd persoon (F-gassen STEK / vergelijkbaar)
Werktuigbouw - Monteur;7;Wat is dubbel-pijps klimaatplafond?;Plafond met radiator;Plafond met 4 leidingen;Plafond met luchtkanaal;Plafond met aanvoer en retour gekoppeld in 2-pijps systeem;D;Plafond met aanvoer en retour gekoppeld in 2-pijps systeem
Werktuigbouw - Monteur;8;Wat is een hydraulische balans bij CV?;Pomptesten;Filtering;Drukverlaging;Verdeling van waterstroom zodat elke groep voldoende debiet krijgt;D;Verdeling van waterstroom zodat elke groep voldoende debiet krijgt
Werktuigbouw - Monteur;9;Welk apparaat balanceert hydraulisch?;Ingrebouwde inregel-/regelafsluiter (bv. Tacosetter, STAD/STAP-V);Pomp;Reduceerventiel;Filter;A;Ingrebouwde inregel-/regelafsluiter (bv. Tacosetter, STAD/STAP-V)
Werktuigbouw - Monteur;10;Wat is een differentiedrukregelaar?;Verwarmt water;Stopt water;Houdt het drukverschil over een groep constant;Filtert lucht;C;Houdt het drukverschil over een groep constant
Werktuigbouw - Monteur;11;Welke methode test je een persleiding?;Pomp inschakelen;Visueel alleen;Slaan met hamer;Drukbeproeving (afpersing) met juiste medium en duur volgens norm;D;Drukbeproeving (afpersing) met juiste medium en duur volgens norm
Werktuigbouw - Monteur;12;Welke maximale temperatuur tolereert standaard PEX-buis continu?;250 °C;20 °C;150 °C;≈ 70-85 °C continu, kortstondig hoger;D;≈ 70-85 °C continu, kortstondig hoger
Werktuigbouw - Monteur;13;Hoe bepaal je de leidingdiameter voor een verwarmingsgroep?;Op gok;Op basis van debiet, drukverlies, snelheid (m/s) en lengte;Altijd 22 mm;Standaard tabel zonder context;B;Op basis van debiet, drukverlies, snelheid (m/s) en lengte
Werktuigbouw - Monteur;14;Welke maximale watersnelheid is gangbaar in distributieleiding?;10 m/s;5 m/s;≈ 1,0 m/s om geluid en erosie te beperken;Geen limiet;C;≈ 1,0 m/s om geluid en erosie te beperken
Werktuigbouw - Monteur;15;Wat is een driewegventiel?;Mengt of verdeelt twee waterstromen voor temperatuurregeling;Een pomp;Een filter;Een ontluchter;A;Mengt of verdeelt twee waterstromen voor temperatuurregeling
Werktuigbouw - Monteur;16;Wat is een tweewegventiel?;Een filter;Open/dicht klep voor één leiding (vaak modulair stuurbaar);Een verdeler;Een pomp;B;Open/dicht klep voor één leiding (vaak modulair stuurbaar)
Werktuigbouw - Monteur;17;Welke afsluiter is geschikt voor inregeling én afsluiten?;Schuif;Vlinderklep alleen;Bolafsluiter alleen;Inregelafsluiter met meetnippels (bv. STAD);D;Inregelafsluiter met meetnippels (bv. STAD)
Werktuigbouw - Monteur;18;Wat is een expansievat?;Vat dat volume-uitzetting van het CV-water opvangt;Pomp;Reduceerventiel;Filter;A;Vat dat volume-uitzetting van het CV-water opvangt
Werktuigbouw - Monteur;19;Welke voorvuldruk gebruik je voor een typisch CV-expansievat in een woning?;Niet relevant;Altijd 5 bar;Statische hoogte (m) / 10 + 0,3 bar (richtlijn);Altijd 0 bar;C;Statische hoogte (m) / 10 + 0,3 bar (richtlijn)
Werktuigbouw - Monteur;20;Wat is een veiligheidsventiel?;Pompt;Filtert;Beveiligt installatie tegen overdruk door af te blazen;Mengt;C;Beveiligt installatie tegen overdruk door af te blazen
Werktuigbouw - Monteur;21;Welke koudemiddel-leiding is in de regel groter, zuig- of vloeistofleiding?;Zuigleiding is groter (gas, lagere druk/dichtheid);Gelijk;Geen leiding bestaand;Vloeistof groter;A;Zuigleiding is groter (gas, lagere druk/dichtheid)
Werktuigbouw - Monteur;22;Wat is een airless-koeler / dry cooler?;Buitenunit die warmte aan buitenlucht afgeeft zonder waterverneveling;Een pomp;Een mengkraan;Een filter;A;Buitenunit die warmte aan buitenlucht afgeeft zonder waterverneveling
Werktuigbouw - Monteur;23;Welk medium gebruikt vaak een klimaatplafond met natte koeling?;Olie;CO2-direct;Stoom;Gekoeld water (zoutarm, eventueel met glycol);D;Gekoeld water (zoutarm, eventueel met glycol)
Werktuigbouw - Monteur;24;Wat is een 'free cooling' principe?;Verwarming aan;Compressor altijd aan;Een type pomp;Buitenlucht/water gebruiken om gebouw te koelen zonder mechanische compressor;D;Buitenlucht/water gebruiken om gebouw te koelen zonder mechanische compressor
Werktuigbouw - Monteur;25;Wat is een condensaatpomp?;Pompt CV-water;Pompt condenswater weg uit airco/LBK naar afvoer;Brandblussysteem;Riool ventilatie;B;Pompt condenswater weg uit airco/LBK naar afvoer
Werktuigbouw - Monteur;26;Welke isolatieklasse vraagt een koudwaterleiding op vochtige plaats?;Gesloten cel (μ ≥ 7000) en juiste dikte tegen condens;Glaswol open;Geen;Tape;A;Gesloten cel (μ ≥ 7000) en juiste dikte tegen condens
Werktuigbouw - Monteur;27;Wat is een EPB-rapportage?;Een lasrapport;Een veiligheidskeuring;Energieprestatieberekening — relevant voor opleveringen;Een prijsopgave;C;Energieprestatieberekening — relevant voor opleveringen
Werktuigbouw - Monteur;28;Welke MERV/EU-filterklasse hoort bij goede ventilatie kantoren?;Geen filter;G2;Tegenwoordig ISO ePM1 / ePM2,5 (was F7-F9);C0;C;Tegenwoordig ISO ePM1 / ePM2,5 (was F7-F9)
Werktuigbouw - Monteur;29;Wat is balansventilatie?;WTW: gelijke aan- en afvoerhoeveelheden, met warmteterugwinning;Alleen toevoer;Geen ventilatie;Alleen afvoer;A;WTW: gelijke aan- en afvoerhoeveelheden, met warmteterugwinning
Werktuigbouw - Monteur;30;Wat is WTW?;Warmte-TerugWinning uit ventilatieretour;Water-TochtWisselaar;Wattmetergroep;Geen afkorting;A;Warmte-TerugWinning uit ventilatieretour
Werktuigbouw - Monteur;31;Welke stappen horen bij inbedrijfstelling klimaatplafond?;Spoelen, ontluchten, drukproef, inregelen, meet- en regeltechniek inregelen;Direct aanzetten;Alleen visuele controle;Niets specifieks;A;Spoelen, ontluchten, drukproef, inregelen, meet- en regeltechniek inregelen
Werktuigbouw - Monteur;32;Wat is een Nutsleiding (gas/elektra/water)?;Aansluiting van openbare voorziening tot meterkast;Privéleiding;Riool;Dakleiding;A;Aansluiting van openbare voorziening tot meterkast
